영화 대표코드,영화명,누적관객수
20197803,겨울왕국 2,4437901
20195002,블랙머니,1817417
20181434,신의 한 수: 귀수편,2085194
20191029,82년생 김지영,3619376
20192083,터미네이터: 다크 페이트,2383139
20197721,엔젤 해즈 폴른,175000
20190280,날씨의 아이,642434
20198421,좀비랜드: 더블 탭,134025
20196284,윤희에게,63686
20184341,얼굴없는 보스,16355
20197279,아담스 패밀리,319305
20199950,조커,5239867
20191589,말레피센트 2,1432023
20193801,닥터 슬립,46343
20195920,가장 보통의 연애,2918537
20192589,빅 위시,28884
20196136,람보 : 라스트 워,92238
20198184,빅 2: 황금열쇠 대소동,11152
20184483,퍼펙트맨,1224921
20185361,두번할까요,169448
20197054,빅트립: 아기팬더 배달 대모험,32728
20198961,더 킹: 헨리 5세,10727
19910247,터미네이터2 3D,11743
20191183,제미니 맨,375620
20194223,너를 만난 여름,19205
20193601,장사리 : 잊혀진 영웅들,1125480
20183407,버티고,11161
20196380,몬스터 하우스,58604
20195941,소피와 드래곤: 마법책의 비밀,90886
20197691,잃어버린 세계를 찾아서,17510
20184243,판소리 복서,16827
20199446,원스 어폰 어 타임... 인 할리우드,270172
20194456,양자물리학,542651
20188750,나쁜 녀석들: 더 무비,4556694
20192982,애드 아스트라,508767
20184572,타짜: 원 아이드 잭,2212819
20193807,예스터데이,292246
20187322,"힘을 내요, 미스터 리",1166190
20195968,더 룸,44682
20193821,극장판 헬로카봇 : 달나라를 구해줘!,558571
20192804,그것: 두 번째 이야기,584467
20184621,엑시트,9407843
20181103,벌새,93366
20181416,유열의 음악앨범,1225554
20194045,극장판 반지의 비밀일기,56299
20196850,분노의 질주: 홉스&쇼,3649860
20184543,변신,1797796
20193665,47미터 2,440356
20184462,봉오동 전투,4767092
20194541,안녕 베일리,39817
20185985,광대들: 풍문조작단,632384
20194384,안나,73250
20171021,커런트 워,194259
20198323,레드슈즈,786502
20182241,"안녕, 티라노: 영원히, 함께",189725
20183844,마이펫의 이중생활 2,1100521
20191604,애프터,37839
20188404,암전,85378
20180442,사자,1602046
20187959,원더랜드,73851
20183867,알라딘,12501428
20193275,브링 더 소울 : 더 무비,274064
20175771,라이온 킹,4684247
20191741,앵그리 버드 2: 독수리 왕국의 침공,134529
20190741,김복동,29397
20182490,나랏말싸미,930998
20196309,스파이더맨: 파 프롬 홈,7996657
20192725,명탐정 코난: 감청의 권,214485
20190002,롱 샷,184741
20184047,토이 스토리 4,3355808
20183782,기생충,10041845
20185353,기방도령,278008
20185986,진범,157393
20192222,사일런스,43202
20191601,극장판 엉덩이 탐정: 화려한 사건 수첩,127100
20192151,미드소마,69036
20199951,애나벨 집으로,459037
20196655,존 윅 3: 파라벨룸,913444
20198453,롱 리브 더 킹: 목포 영웅,1076594
20190273,천로역정: 천국을 찾아서,228366
20182585,비스트,199009
20192591,BIFAN2019 판타스틱 단편 걸작선 1,25000
20192022,마담 싸이코,37437
20196657,맨 인 블랙: 인터내셔널,843703
20190885,사탄의 인형,46546
20182387,엑스맨: 다크 피닉스,861032
